date,鼻水_trend,prefecture
2020-03-01,35.990338164251206,Hokkaido
2020-03-02,36.99006977992485,Hokkaido
2020-03-03,24.993290391841118,Hokkaido
2020-03-04,61.98336017176598,Hokkaido
2020-03-05,60.98362855609233,Hokkaido
2020-03-06,23.993558776167472,Hokkaido
2020-03-07,24.993290391841118,Hokkaido
2020-03-08,9.314059273315847,Hokkaido
2020-03-09,37.25623709326339,Hokkaido
2020-03-10,9.314059273315847,Hokkaido
2020-03-11,37.25623709326339,Hokkaido
2020-03-12,18.628118546631693,Hokkaido
2020-03-13,18.628118546631693,Hokkaido
2020-03-14,28.718349426057188,Hokkaido
2020-03-15,10.733960505127552,Hokkaido
2020-03-16,10.733960505127552,Hokkaido
2020-03-17,21.467921010255104,Hokkaido
2020-03-18,0.0,Hokkaido
2020-03-19,32.20188151538266,Hokkaido
2020-03-20,21.467921010255104,Hokkaido
2020-03-21,0.0,Hokkaido
2020-03-22,0.0,Hokkaido
2020-03-23,7.521200699959618,Hokkaido
2020-03-24,31.338336249831737,Hokkaido
2020-03-25,15.669168124915869,Hokkaido
2020-03-26,0.0,Hokkaido
2020-03-27,15.042401399919235,Hokkaido
2020-03-28,15.669168124915869,Hokkaido
2020-03-29,17.549468299905772,Hokkaido
2020-03-30,25.27123435186432,Hokkaido
2020-03-31,25.973213083860546,Hokkaido
2020-04-01,8.423744783954772,Hokkaido
2020-04-02,25.27123435186432,Hokkaido
2020-04-03,0.0,Hokkaido
2020-04-04,16.847489567909545,Hokkaido
2020-04-05,18.78765236071545,Hokkaido
2020-04-06,9.393826180357726,Hokkaido
2020-04-07,18.78765236071545,Hokkaido
2020-04-08,19.570471209078597,Hokkaido
2020-04-09,38.35812356979405,Hokkaido
2020-04-10,10.176645028720872,Hokkaido
2020-04-11,38.35812356979405,Hokkaido
2020-04-12,33.32119825254837,Hokkaido
2020-04-13,34.24678709289694,Hokkaido
2020-04-14,23.139721008714144,Hokkaido
2020-04-15,34.24678709289694,Hokkaido
2020-04-16,22.214132168365577,Hokkaido
2020-04-17,65.71680766474816,Hokkaido
2020-04-18,31.470020571851236,Hokkaido
2020-04-19,13.06295168651178,Hokkaido
2020-04-20,4.105499101475132,Hokkaido
2020-04-21,12.316497304425397,Hokkaido
2020-04-22,16.795223596943725,Hokkaido
2020-04-23,11.943270113382203,Hokkaido
2020-04-24,17.168450787986913,Hokkaido
2020-04-25,12.68972449546859,Hokkaido
2020-04-26,60.23176428314769,Hokkaido
2020-04-27,29.446640316205535,Hokkaido
2020-04-28,0.0,Hokkaido
2020-04-29,29.446640316205535,Hokkaido
2020-04-30,13.384836507366153,Hokkaido
2020-05-01,14.723320158102768,Hokkaido
2020-05-02,14.723320158102768,Hokkaido
2020-05-03,0.0,Hokkaido
2020-05-04,18.97610875013621,Hokkaido
2020-05-05,0.0,Hokkaido
2020-05-06,18.97610875013621,Hokkaido
2020-05-07,18.97610875013621,Hokkaido
2020-05-08,0.0,Hokkaido
2020-05-09,39.67731829573935,Hokkaido
2020-05-10,0.0,Hokkaido
2020-05-11,19.53422959572845,Hokkaido
2020-05-12,19.53422959572845,Hokkaido
2020-05-13,0.0,Hokkaido
2020-05-14,0.0,Hokkaido
2020-05-15,19.53422959572845,Hokkaido
2020-05-16,40.844298245614034,Hokkaido
2020-05-17,19.889397406559876,Hokkaido
2020-05-18,9.512320498789505,Hokkaido
2020-05-19,9.512320498789505,Hokkaido
2020-05-20,30.266474314330242,Hokkaido
2020-05-21,10.37707690777037,Hokkaido
2020-05-22,19.889397406559876,Hokkaido
