raw_daily,raw_weekly,prefecture,date,symptoms_harmonized_daily
21,34,Aichi,2019.06.22,20.568874
20,28,Aichi,2019.06.23,19.487999
15,28,Aichi,2019.06.24,14.615999
29,28,Aichi,2019.06.25,28.257601
14,28,Aichi,2019.06.26,13.6416
11,28,Aichi,2019.06.27,10.718399
19,28,Aichi,2019.06.28,18.513599
17,28,Aichi,2019.06.29,16.5648
18,27,Aichi,2019.06.30,18.225
7,27,Aichi,2019.07.01,7.0875001
21,27,Aichi,2019.07.02,21.262501
17,27,Aichi,2019.07.03,17.2125
22,27,Aichi,2019.07.04,22.275002
23,27,Aichi,2019.07.05,23.287502
8,27,Aichi,2019.07.06,8.1000004
42,30,Aichi,2019.07.07,20.299999
51,30,Aichi,2019.07.08,24.649998
40,30,Aichi,2019.07.09,19.333332
40,30,Aichi,2019.07.10,19.333332
22,30,Aichi,2019.07.11,10.633333
33,30,Aichi,2019.07.12,15.95
42,30,Aichi,2019.07.13,20.299999
27,30,Aichi,2019.07.14,13.147388
40,30,Aichi,2019.07.15,19.477613
49,30,Aichi,2019.07.16,23.860075
40,30,Aichi,2019.07.17,19.477613
29,30,Aichi,2019.07.18,14.121268
22,30,Aichi,2019.07.19,10.712687
61,30,Aichi,2019.07.20,29.703358
45,32,Aichi,2019.07.21,21.306122
25,32,Aichi,2019.07.22,11.836735
67,32,Aichi,2019.07.23,31.722448
41,32,Aichi,2019.07.24,19.412245
26,32,Aichi,2019.07.25,12.310205
40,32,Aichi,2019.07.26,18.938776
50,32,Aichi,2019.07.27,23.67347
40,28,Aichi,2019.07.28,20.132231
26,28,Aichi,2019.07.29,13.08595
41,28,Aichi,2019.07.30,20.635538
15,28,Aichi,2019.07.31,7.5495863
26,28,Aichi,2019.08.01,13.08595
38,28,Aichi,2019.08.02,19.12562
56,28,Aichi,2019.08.03,28.185122
40,26,Aichi,2019.08.04,19.251062
33,26,Aichi,2019.08.05,15.882127
34,26,Aichi,2019.08.06,16.363403
40,26,Aichi,2019.08.07,19.251062
44,26,Aichi,2019.08.08,21.17617
18,26,Aichi,2019.08.09,8.6629782
26,26,Aichi,2019.08.10,12.513191
26,24,Aichi,2019.08.11,12.864455
26,24,Aichi,2019.08.12,12.864455
25,24,Aichi,2019.08.13,12.369669
23,24,Aichi,2019.08.14,11.380095
38,24,Aichi,2019.08.15,18.801897
45,24,Aichi,2019.08.16,22.265404
28,24,Aichi,2019.08.17,13.85403
28,25,Aichi,2019.08.18,13.414098
39,25,Aichi,2019.08.19,18.683922
60,25,Aichi,2019.08.20,28.744495
25,25,Aichi,2019.08.21,11.976872
39,25,Aichi,2019.08.22,18.683922
25,25,Aichi,2019.08.23,11.976872
11,25,Aichi,2019.08.24,5.269824
22,21,Aichi,2019.08.25,9.8514709
28,21,Aichi,2019.08.26,12.538236
25,21,Aichi,2019.08.27,11.194854
28,21,Aichi,2019.08.28,12.538236
36,21,Aichi,2019.08.29,16.120588
27,21,Aichi,2019.08.30,12.090442
38,21,Aichi,2019.08.31,17.016178
42,31,Aichi,2019.09.01,21.292105
54,31,Aichi,2019.09.02,27.375565
26,31,Aichi,2019.09.03,13.180826
54,31,Aichi,2019.09.04,27.375565
15,31,Aichi,2019.09.05,7.6043234
47,31,Aichi,2019.09.06,23.82688
28,31,Aichi,2019.09.07,14.194737
40,26,Aichi,2019.09.08,19.416309
32,26,Aichi,2019.09.09,15.533048
37,26,Aichi,2019.09.10,17.960085
22,26,Aichi,2019.09.11,10.67897
22,26,Aichi,2019.09.12,10.67897
26,26,Aichi,2019.09.13,12.620601
54,26,Aichi,2019.09.14,26.212019
53,35,Aichi,2019.09.15,25.780352
55,35,Aichi,2019.09.16,26.753195
39,35,Aichi,2019.09.17,18.970446
33,35,Aichi,2019.09.18,16.051916
26,35,Aichi,2019.09.19,12.646964
52,35,Aichi,2019.09.20,25.293928
55,35,Aichi,2019.09.21,26.753195
42,38,Aichi,2019.09.22,19.892836
57,38,Aichi,2019.09.23,26.997421
58,38,Aichi,2019.09.24,27.47106
48,38,Aichi,2019.09.25,22.734671
29,38,Aichi,2019.09.26,13.73553
52,38,Aichi,2019.09.27,24.629225
63,38,Aichi,2019.09.28,29.839256
20,30,Aichi,2019.09.29,9.456522
39,30,Aichi,2019.09.30,18.44022
47,30,Aichi,2019.10.01,22.222828
50,30,Aichi,2019.10.02,23.641306
58,30,Aichi,2019.10.03,27.423916
15,30,Aichi,2019.10.04,7.0923915
47,30,Aichi,2019.10.05,22.222828
81,42,Aichi,2019.10.06,39.253845
82,42,Aichi,2019.10.07,39.738461
52,42,Aichi,2019.10.08,25.199999
38,42,Aichi,2019.10.09,18.415384
32,42,Aichi,2019.10.10,15.507691
57,42,Aichi,2019.10.11,27.623077
35,42,Aichi,2019.10.12,16.961538
55,47,Aichi,2019.10.13,25.969398
62,47,Aichi,2019.10.14,29.274595
75,47,Aichi,2019.10.15,35.412815
58,47,Aichi,2019.10.16,27.385912
48,47,Aichi,2019.10.17,22.664202
70,47,Aichi,2019.10.18,33.05196
65,47,Aichi,2019.10.19,30.691107
66,44,Aichi,2019.10.20,31.739697
