date,prefecture,raw_daily,raw_weekly,symptoms_harmonized_daily
2017.08.17,Aichi,39,29,20.767498
2017.08.18,Aichi,16,29,8.5199995
2017.08.19,Aichi,38,29,20.234999
2017.08.20,Aichi,36,31,18.008181
2017.08.21,Aichi,29,31,14.506589
2017.08.22,Aichi,39,31,19.508862
2017.08.23,Aichi,46,31,23.010452
2017.08.24,Aichi,42,31,21.009544
2017.08.25,Aichi,42,31,21.009544
2017.08.26,Aichi,30,31,15.006817
2017.08.27,Aichi,33,37,16.671345
2017.08.28,Aichi,55,37,27.785576
2017.08.29,Aichi,39,37,19.702499
2017.08.30,Aichi,52,37,26.269997
2017.08.31,Aichi,33,37,16.671345
2017.09.01,Aichi,50,37,25.259613
2017.09.02,Aichi,50,37,25.259613
2017.09.03,Aichi,23,27,11.552225
2017.09.04,Aichi,20,27,10.045414
2017.09.05,Aichi,40,27,20.090828
2017.09.06,Aichi,43,27,21.597641
2017.09.07,Aichi,40,27,20.090828
2017.09.08,Aichi,24,27,12.054497
2017.09.09,Aichi,39,27,19.588556
2017.09.10,Aichi,42,31,20.851578
2017.09.11,Aichi,36,31,17.87278
2017.09.12,Aichi,32,31,15.886916
2017.09.13,Aichi,43,31,21.348042
2017.09.14,Aichi,40,31,19.858644
2017.09.15,Aichi,36,31,17.87278
2017.09.16,Aichi,37,31,18.369247
2017.09.17,Aichi,42,41,21.019253
2017.09.18,Aichi,65,41,32.529797
2017.09.19,Aichi,64,41,32.029339
2017.09.20,Aichi,68,41,34.03117
2017.09.21,Aichi,41,41,20.518795
2017.09.22,Aichi,34,41,17.015585
2017.09.23,Aichi,35,41,17.516045
2017.09.24,Aichi,34,49,17.610817
2017.09.25,Aichi,93,49,48.170765
2017.09.26,Aichi,47,49,24.344364
2017.09.27,Aichi,41,49,21.236572
2017.09.28,Aichi,48,49,24.862329
2017.09.29,Aichi,66,49,34.185703
2017.09.30,Aichi,74,49,38.329426
2017.10.01,Aichi,70,36,34.407688
2017.10.02,Aichi,33,36,16.220768
2017.10.03,Aichi,24,36,11.796922
2017.10.04,Aichi,48,36,23.593843
2017.10.05,Aichi,48,36,23.593843
2017.10.06,Aichi,41,36,20.153074
2017.10.07,Aichi,48,36,23.593843
2017.10.08,Aichi,62,41,30.676828
2017.10.09,Aichi,62,41,30.676828
2017.10.10,Aichi,37,41,18.307138
2017.10.11,Aichi,40,41,19.7915
2017.10.12,Aichi,62,41,30.676828
2017.10.13,Aichi,37,41,18.307138
2017.10.14,Aichi,53,41,26.223738
