date,prefecture,raw_daily,raw_weekly,suicide_harmonized_daily
2016.09.25,Aichi,56,44,15.201166
2016.10.02,Aichi,61,48,16.58309
2016.10.09,Aichi,59,47,16.23761
2016.10.16,Aichi,68,54,18.655977
2016.10.23,Aichi,71,55,19.001457
2016.10.30,Aichi,46,36,12.437318
2016.11.06,Aichi,48,38,13.12828
2016.11.13,Aichi,53,42,14.510204
2016.11.20,Aichi,44,35,12.091837
2016.11.27,Aichi,50,39,13.473761
2016.12.04,Aichi,58,46,15.892128
2016.12.11,Aichi,33,26,8.9825077
2016.12.18,Aichi,38,30,10.364432
2016.12.25,Aichi,46,36,12.437318
2017.01.01,Aichi,22,31,8.8912487
2017.01.01,Aichi,40,31,16.165907
2017.01.02,Aichi,7,31,2.8290336
2017.01.03,Aichi,22,31,8.8912487
2017.01.04,Aichi,37,31,14.953464
2017.01.05,Aichi,25,31,10.103692
2017.01.06,Aichi,27,31,10.911987
2017.01.07,Aichi,32,31,12.932725
2017.01.08,Aichi,53,42,22.210566
2017.01.08,Aichi,29,42,12.15295
2017.01.09,Aichi,37,42,15.505489
2017.01.10,Aichi,21,42,8.8004122
2017.01.11,Aichi,45,42,18.858027
2017.01.12,Aichi,43,42,18.019892
2017.01.13,Aichi,25,42,10.476682
2017.01.14,Aichi,24,42,10.057613
2017.01.15,Aichi,57,45,23.950241
2017.01.15,Aichi,26,45,10.924671
2017.01.16,Aichi,30,45,12.605389
2017.01.17,Aichi,61,45,25.630959
2017.01.18,Aichi,35,45,14.706287
2017.01.19,Aichi,17,45,7.1430545
2017.01.20,Aichi,36,45,15.126468
2017.01.21,Aichi,34,45,14.286109
2017.01.22,Aichi,23,38,9.5102501
2017.01.22,Aichi,49,38,20.260969
2017.01.23,Aichi,26,38,10.750717
2017.01.24,Aichi,19,38,7.8562937
2017.01.25,Aichi,31,38,12.818164
2017.01.26,Aichi,24,38,9.9237394
2017.01.27,Aichi,50,38,20.674458
2017.01.28,Aichi,32,38,13.231652
2017.01.29,Aichi,49,39,20.794151
2017.01.29,Aichi,29,39,12.306743
2017.01.30,Aichi,32,39,13.579854
2017.01.31,Aichi,15,39,6.3655567
2017.02.01,Aichi,26,39,11.033631
2017.02.02,Aichi,38,39,16.126076
2017.02.03,Aichi,34,39,14.428594
2017.02.04,Aichi,31,39,13.155482
2017.02.05,Aichi,60,47,25.387791
2017.02.05,Aichi,24,47,10.155116
2017.02.06,Aichi,27,47,11.424506
2017.02.07,Aichi,15,47,6.3469477
2017.02.08,Aichi,41,47,17.348324
2017.02.09,Aichi,27,47,11.424506
2017.02.10,Aichi,38,47,16.078936
2017.02.11,Aichi,75,47,31.734739
2017.02.12,Aichi,47,65,19.545271
2017.02.12,Aichi,83,65,34.516117
