date,raw_daily,raw_weekly,anxietydrug1_harmonized_daily
2017.04.26,54,75,48.011257
2017.04.27,37,75,32.896599
2017.04.28,56,75,49.789448
2017.04.29,46,75,40.898476
2017.04.30,36,39,32.491016
2017.05.01,44,39,39.711243
2017.05.02,27,39,24.368263
2017.05.03,9,39,8.1227541
2017.05.04,18,39,16.245508
2017.05.05,36,39,32.491016
2017.05.06,18,39,16.245508
2017.05.07,27,55,24.107143
2017.05.08,45,55,40.17857
2017.05.09,63,55,56.25
2017.05.10,44,55,39.285717
2017.05.11,45,55,40.17857
2017.05.12,27,55,24.107143
2017.05.13,17,55,15.178572
2017.05.14,27,70,23.765108
2017.05.15,73,70,64.253815
2017.05.16,28,70,24.645296
2017.05.17,47,70,41.368896
2017.05.18,85,70,74.816078
2017.05.19,57,70,50.170788
2017.05.20,29,70,25.525488
2017.05.21,65,66,55.714287
2017.05.22,28,66,24
2017.05.23,46,66,39.428574
2017.05.24,46,66,39.428574
2017.05.25,64,66,54.857143
2017.05.26,47,66,40.285713
2017.05.27,39,66,33.428574
2017.05.28,48,56,43.313129
2017.05.29,19,56,17.144781
2017.05.30,36,56,32.484848
2017.05.31,45,56,40.606064
2017.06.01,46,56,41.508419
2017.06.02,47,56,42.410774
2017.06.03,29,56,26.16835
2017.06.04,28,47,23.955877
2017.06.05,28,47,23.955877
2017.06.06,64,47,54.75629
2017.06.07,54,47,46.200619
2017.06.08,27,47,23.100309
2017.06.09,19,47,16.255774
2017.06.10,19,47,16.255774
2017.06.11,9,46,7.9697738
2017.06.12,26,46,23.023792
2017.06.13,54,46,47.818645
2017.06.14,64,46,56.673946
2017.06.15,36,46,31.879095
2017.06.16,28,46,24.794851
2017.06.17,9,46,7.9697738
2017.06.18,46,63,40.540783
2017.06.19,27,63,23.795675
2017.06.20,34,63,29.964926
2017.06.21,50,63,44.066067
2017.06.22,67,63,59.048531
2017.06.23,51,63,44.947388
2017.06.24,36,63,31.727568
2017.06.25,18,55,15.893516
