date,prefecture,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2017.04.15,Aichi,19,44,7.6131492
2017.04.16,Aichi,19,50,7.6594367
2017.04.17,Aichi,19,50,7.6594367
2017.04.18,Aichi,60,50,24.187696
2017.04.19,Aichi,39,50,15.722002
2017.04.20,Aichi,20,50,8.0625658
2017.04.21,Aichi,0,50,0
2017.04.22,Aichi,0,50,0
2017.04.23,Aichi,39,56,15.531219
2017.04.24,Aichi,39,56,15.531219
2017.04.25,Aichi,20,56,7.9647279
2017.04.26,Aichi,0,56,0
2017.04.27,Aichi,20,56,7.9647279
2017.04.28,Aichi,40,56,15.929456
2017.04.29,Aichi,20,56,7.9647279
2017.04.30,Aichi,0,30,0
2017.05.01,Aichi,19,30,12.884268
2017.05.02,Aichi,19,30,12.884268
2017.05.03,Aichi,0,30,0
2017.05.04,Aichi,0,30,0
2017.05.05,Aichi,0,30,0
2017.05.06,Aichi,18,30,12.206148
2017.05.07,Aichi,19,73,6.6252685
2017.05.08,Aichi,77,73,26.849771
2017.05.09,Aichi,38,73,13.250537
2017.05.10,Aichi,38,73,13.250537
2017.05.11,Aichi,0,73,0
2017.05.12,Aichi,57,73,19.875805
2017.05.13,Aichi,36,73,12.553141
2017.05.14,Aichi,0,37,0
2017.05.15,Aichi,19,37,7.5413008
2017.05.16,Aichi,0,37,0
2017.05.17,Aichi,59,37,23.417721
2017.05.18,Aichi,0,37,0
2017.05.19,Aichi,40,37,15.876422
2017.05.20,Aichi,0,37,0
2017.05.21,Aichi,58,57,24.050632
2017.05.22,Aichi,0,57,0
2017.05.23,Aichi,58,57,24.050632
2017.05.24,Aichi,0,57,0
2017.05.25,Aichi,38,57,15.757312
2017.05.26,Aichi,20,57,8.2933216
2017.05.27,Aichi,0,57,0
2017.05.28,Aichi,0,31,0
2017.05.29,Aichi,40,31,16.016533
2017.05.30,Aichi,0,31,0
2017.05.31,Aichi,19,31,7.6078529
2017.06.01,Aichi,39,31,15.616119
2017.06.02,Aichi,0,31,0
2017.06.03,Aichi,0,31,0
2017.06.04,Aichi,0,43,0
2017.06.05,Aichi,0,43,0
2017.06.06,Aichi,39,43,13.695387
2017.06.07,Aichi,19,43,6.672111
2017.06.08,Aichi,58,43,20.367498
2017.06.09,Aichi,0,43,0
2017.06.10,Aichi,39,43,13.695387
2017.06.11,Aichi,19,93,7.7663503
2017.06.12,Aichi,38,93,15.532701
2017.06.13,Aichi,39,93,15.941456
2017.06.14,Aichi,77,93,31.474157
2017.06.15,Aichi,58,93,23.707808
2017.06.16,Aichi,0,93,0
2017.06.17,Aichi,57,93,23.299051
2017.06.18,Aichi,38,64,15.392406
2017.06.19,Aichi,38,64,15.392406
2017.06.20,Aichi,0,64,0
2017.06.21,Aichi,71,64,28.759493
2017.06.22,Aichi,53,64,21.468355
2017.06.23,Aichi,0,64,0
2017.06.24,Aichi,0,64,0
2017.06.25,Aichi,0,42,0
2017.06.26,Aichi,19,42,8.8607597
2017.06.27,Aichi,0,42,0
2017.06.28,Aichi,0,42,0
2017.06.29,Aichi,38,42,17.721519
2017.06.30,Aichi,19,42,8.8607597
2017.07.01,Aichi,38,42,17.721519
2017.07.02,Aichi,31,80,15.239031
2017.07.03,Aichi,47,80,23.104338
2017.07.04,Aichi,0,80,0
2017.07.05,Aichi,32,80,15.730613
2017.07.06,Aichi,80,80,39.32653
2017.07.07,Aichi,0,80,0
2017.07.08,Aichi,16,80,7.8653064
2017.07.09,Aichi,16,74,7.8467755
2017.07.10,Aichi,0,74,0
2017.07.11,Aichi,16,74,7.8467755
2017.07.12,Aichi,32,74,15.693551
2017.07.13,Aichi,64,74,31.387102
2017.07.14,Aichi,16,74,7.8467755
2017.07.15,Aichi,47,74,23.049904
2017.07.16,Aichi,16,31,7.8481007
2017.07.17,Aichi,0,31,0
2017.07.18,Aichi,48,31,23.544304
2017.07.19,Aichi,0,31,0
2017.07.20,Aichi,0,31,0
2017.07.21,Aichi,16,31,7.8481007
2017.07.22,Aichi,0,31,0
2017.07.23,Aichi,0,47,0
2017.07.24,Aichi,31,47,14.75443
2017.07.25,Aichi,15,47,7.1392403
2017.07.26,Aichi,0,47,0
2017.07.27,Aichi,31,47,14.75443
2017.07.28,Aichi,16,47,7.6151896
2017.07.29,Aichi,32,47,15.230379
2017.07.30,Aichi,16,60,7.9424171
2017.07.31,Aichi,31,60,15.388433
2017.08.01,Aichi,0,60,0
2017.08.02,Aichi,59,60,29.287663
2017.08.03,Aichi,0,60,0
2017.08.04,Aichi,31,60,15.388433
2017.08.05,Aichi,16,60,7.9424171
2017.08.06,Aichi,15,34,7.5949368
2017.08.07,Aichi,40,34,20.253164
2017.08.08,Aichi,15,34,7.5949368
2017.08.09,Aichi,15,34,7.5949368
2017.08.10,Aichi,0,34,0
2017.08.11,Aichi,0,34,0
2017.08.12,Aichi,0,34,0
2017.08.13,Aichi,0,42,0
2017.08.14,Aichi,16,42,7.9498401
2017.08.15,Aichi,15,42,7.4529748
2017.08.16,Aichi,0,42,0
2017.08.17,Aichi,15,42,7.4529748
2017.08.18,Aichi,45,42,22.358925
2017.08.19,Aichi,16,42,7.9498401
2017.08.20,Aichi,15,42,7.4529748
2017.08.21,Aichi,15,42,7.4529748
2017.08.22,Aichi,15,42,7.4529748
2017.08.23,Aichi,0,42,0
2017.08.24,Aichi,46,42,22.855789
2017.08.25,Aichi,0,42,0
2017.08.26,Aichi,16,42,7.9498401
2017.08.27,Aichi,31,60,15.288509
2017.08.28,Aichi,15,60,7.397666
2017.08.29,Aichi,0,60,0
2017.08.30,Aichi,61,60,30.083839
2017.08.31,Aichi,0,60,0
2017.09.01,Aichi,47,60,23.179354
2017.09.02,Aichi,0,60,0
2017.09.03,Aichi,0,48,0
2017.09.04,Aichi,16,48,8.7581253
2017.09.05,Aichi,16,48,8.7581253
2017.09.06,Aichi,0,48,0
2017.09.07,Aichi,16,48,8.7581253
2017.09.08,Aichi,48,48,26.274376
2017.09.09,Aichi,15,48,8.210743
2017.09.10,Aichi,0,48,0
2017.09.11,Aichi,15,48,7.3499389
2017.09.12,Aichi,46,48,22.539812
2017.09.13,Aichi,16,48,7.8399348
2017.09.14,Aichi,16,48,7.8399348
2017.09.15,Aichi,16,48,7.8399348
2017.09.16,Aichi,15,48,7.3499389
2017.09.17,Aichi,0,36,0
2017.09.18,Aichi,0,36,0
2017.09.19,Aichi,0,36,0
2017.09.20,Aichi,0,36,0
2017.09.21,Aichi,16,36,9.113924
2017.09.22,Aichi,48,36,27.341772
2017.09.23,Aichi,16,36,9.113924
2017.09.24,Aichi,0,31,0
2017.09.25,Aichi,31,31,15.398174
2017.09.26,Aichi,32,31,15.894889
2017.09.27,Aichi,0,31,0
2017.09.28,Aichi,16,31,7.9474444
2017.09.29,Aichi,0,31,0
2017.09.30,Aichi,0,31,0
2017.10.01,Aichi,0,50,0
2017.10.02,Aichi,0,50,0
2017.10.03,Aichi,17,50,12.658226
2017.10.04,Aichi,17,50,12.658226
2017.10.05,Aichi,17,50,12.658226
2017.10.06,Aichi,0,50,0
2017.10.07,Aichi,34,50,25.316452
2017.10.08,Aichi,17,67,14.563355
2017.10.09,Aichi,0,67,0
2017.10.10,Aichi,33,67,28.270044
2017.10.11,Aichi,0,67,0
2017.10.12,Aichi,0,67,0
2017.10.13,Aichi,0,67,0
2017.10.14,Aichi,49,67,41.97673
2017.10.15,Aichi,16,61,14.534623
2017.10.16,Aichi,17,61,15.443037
2017.10.17,Aichi,34,61,30.886074
2017.10.18,Aichi,18,61,16.35145
2017.10.19,Aichi,0,61,0
2017.10.20,Aichi,0,61,0
2017.10.21,Aichi,0,61,0
2017.10.22,Aichi,0,36,0
2017.10.23,Aichi,16,36,10.722263
2017.10.24,Aichi,0,36,0
2017.10.25,Aichi,17,36,11.392406
2017.10.26,Aichi,0,36,0
2017.10.27,Aichi,35,36,23.454952
2017.10.28,Aichi,0,36,0
2017.10.29,Aichi,0,38,0
2017.10.30,Aichi,0,38,0
2017.10.31,Aichi,0,38,0
2017.11.01,Aichi,0,38,0
2017.11.02,Aichi,17,38,23.363472
2017.11.03,Aichi,18,38,24.737795
2017.11.04,Aichi,0,38,0
2017.11.05,Aichi,18,47,19.831224
2017.11.06,Aichi,0,47,0
2017.11.07,Aichi,0,47,0
2017.11.08,Aichi,36,47,39.662449
2017.11.09,Aichi,0,47,0
2017.11.10,Aichi,0,47,0
2017.11.11,Aichi,0,47,0
2017.11.12,Aichi,17,96,11.28865
2017.11.13,Aichi,52,96,34.529987
2017.11.14,Aichi,36,96,23.905376
2017.11.15,Aichi,39,96,25.89749
2017.11.16,Aichi,20,96,13.280765
2017.11.17,Aichi,0,96,0
2017.11.18,Aichi,19,96,12.616726
