date,raw_daily,raw_weekly,depression1_harmonized_daily
2018.03.26,74,80,63.198261
2018.03.27,62,80,52.949894
2018.03.28,66,80,56.366016
2018.03.29,61,80,52.09586
2018.03.30,60,80,51.241833
2018.03.31,57,80,48.679741
2018.04.01,78,84,67.024635
2018.04.02,65,84,55.853859
2018.04.03,65,84,55.853859
2018.04.04,66,84,56.713154
2018.04.05,69,84,59.291023
2018.04.06,65,84,55.853859
2018.04.07,71,84,61.009602
2018.04.08,55,80,46.869564
2018.04.09,64,80,54.539127
2018.04.10,70,80,59.652168
2018.04.11,71,80,60.504341
2018.04.12,72,80,61.356518
2018.04.13,52,80,44.313038
2018.04.14,76,80,64.765213
2018.04.15,75,78,63.55875
2018.04.16,66,78,55.931702
2018.04.17,52,78,44.067402
2018.04.18,70,78,59.321499
2018.04.19,79,78,66.948555
2018.04.20,55,78,46.609749
2018.04.21,54,78,45.762302
2018.04.22,74,73,63.173744
2018.04.23,56,73,47.807159
2018.04.24,60,73,51.221954
2018.04.25,60,73,51.221954
2018.04.26,59,73,50.368256
2018.04.27,65,73,55.490456
2018.04.28,45,73,38.416466
2018.04.29,52,65,43.931034
2018.04.30,63,65,53.224136
2018.05.01,43,65,36.327587
2018.05.02,51,65,43.086205
2018.05.03,52,65,43.931034
2018.05.04,61,65,51.534481
2018.05.05,55,65,46.465515
2018.05.06,100,83,85.083679
2018.05.07,64,83,54.453556
2018.05.08,64,83,54.453556
2018.05.09,48,83,40.840164
2018.05.10,68,83,57.856899
2018.05.11,72,83,61.260246
2018.05.12,62,83,52.751881
