raw_daily,raw_weekly,prefecture,date,medication_harmonized_daily
8,11,Aichi,2019.04.26,8.0486317
15,11,Aichi,2019.04.27,15.091185
10,7,Aichi,2019.04.28,10.030304
0,7,Aichi,2019.04.29,0
7,7,Aichi,2019.04.30,7.0212131
7,7,Aichi,2019.05.01,7.0212131
0,7,Aichi,2019.05.02,0
3,7,Aichi,2019.05.03,3.0090914
3,7,Aichi,2019.05.04,3.0090914
2,10,Aichi,2019.05.05,2.3881674
2,10,Aichi,2019.05.06,2.3881674
8,10,Aichi,2019.05.07,9.5526695
8,10,Aichi,2019.05.08,9.5526695
8,10,Aichi,2019.05.09,9.5526695
8,10,Aichi,2019.05.10,9.5526695
0,10,Aichi,2019.05.11,0
5,8,Aichi,2019.05.12,5.0572958
3,8,Aichi,2019.05.13,3.0343773
0,8,Aichi,2019.05.14,0
13,8,Aichi,2019.05.15,13.148969
5,8,Aichi,2019.05.16,5.0572958
3,8,Aichi,2019.05.17,3.0343773
5,8,Aichi,2019.05.18,5.0572958
2,8,Aichi,2019.05.19,2.1493506
7,8,Aichi,2019.05.20,7.522727
2,8,Aichi,2019.05.21,2.1493506
3,8,Aichi,2019.05.22,3.2240257
0,8,Aichi,2019.05.23,0
10,8,Aichi,2019.05.24,10.746753
8,8,Aichi,2019.05.25,8.5974026
2,6,Aichi,2019.05.26,2.1493506
2,6,Aichi,2019.05.27,2.1493506
2,6,Aichi,2019.05.28,2.1493506
8,6,Aichi,2019.05.29,8.5974026
5,6,Aichi,2019.05.30,5.3733768
5,6,Aichi,2019.05.31,5.3733768
0,6,Aichi,2019.06.01,0
0,5,Aichi,2019.06.02,0
7,5,Aichi,2019.06.03,8.3585863
2,5,Aichi,2019.06.04,2.3881674
2,5,Aichi,2019.06.05,2.3881674
5,5,Aichi,2019.06.06,5.9704189
0,5,Aichi,2019.06.07,0
2,5,Aichi,2019.06.08,2.3881674
0,1,Aichi,2019.06.09,0
0,1,Aichi,2019.06.10,0
5,1,Aichi,2019.06.11,4.2987013
0,1,Aichi,2019.06.12,0
0,1,Aichi,2019.06.13,0
0,1,Aichi,2019.06.14,0
0,1,Aichi,2019.06.15,0
5,6,Aichi,2019.06.16,5.3733768
0,6,Aichi,2019.06.17,0
5,6,Aichi,2019.06.18,5.3733768
2,6,Aichi,2019.06.19,2.1493506
2,6,Aichi,2019.06.20,2.1493506
5,6,Aichi,2019.06.21,5.3733768
5,6,Aichi,2019.06.22,5.3733768
0,3,Aichi,2019.06.23,0
0,3,Aichi,2019.06.24,0
0,3,Aichi,2019.06.25,0
0,3,Aichi,2019.06.26,0
2,3,Aichi,2019.06.27,2.3447464
2,3,Aichi,2019.06.28,2.3447464
7,3,Aichi,2019.06.29,8.2066126
0,2,Aichi,2019.06.30,0
0,2,Aichi,2019.07.01,0
2,2,Aichi,2019.07.02,1.910534
0,2,Aichi,2019.07.03,0
5,2,Aichi,2019.07.04,4.7763348
2,2,Aichi,2019.07.05,1.910534
0,2,Aichi,2019.07.06,0
0,3,Aichi,2019.07.07,0
24,3,Aichi,2019.07.08,2.579221
24,3,Aichi,2019.07.09,2.579221
48,3,Aichi,2019.07.10,5.158442
0,3,Aichi,2019.07.11,0
24,3,Aichi,2019.07.12,2.579221
0,3,Aichi,2019.07.13,0
23,2,Aichi,2019.07.14,2.0814767
0,2,Aichi,2019.07.15,0
0,2,Aichi,2019.07.16,0
0,2,Aichi,2019.07.17,0
24,2,Aichi,2019.07.18,2.1719756
48,2,Aichi,2019.07.19,4.3439512
0,2,Aichi,2019.07.20,0
23,3,Aichi,2019.07.21,2.0741985
0,3,Aichi,2019.07.22,0
25,3,Aichi,2019.07.23,2.2545638
25,3,Aichi,2019.07.24,2.2545638
0,3,Aichi,2019.07.25,0
48,3,Aichi,2019.07.26,4.3287625
22,3,Aichi,2019.07.27,1.9840159
24,4,Aichi,2019.07.28,2.7696331
0,4,Aichi,2019.07.29,0
0,4,Aichi,2019.07.30,0
0,4,Aichi,2019.07.31,0
75,4,Aichi,2019.08.01,8.6551027
0,4,Aichi,2019.08.02,0
50,4,Aichi,2019.08.03,5.7700686
0,3,Aichi,2019.08.04,0
98,3,Aichi,2019.08.05,10.359166
0,3,Aichi,2019.08.06,0
24,3,Aichi,2019.08.07,2.5369384
0,3,Aichi,2019.08.08,0
0,3,Aichi,2019.08.09,0
0,3,Aichi,2019.08.10,0
50,4,Aichi,2019.08.11,4.5730867
73,4,Aichi,2019.08.12,6.6767063
0,4,Aichi,2019.08.13,0
0,4,Aichi,2019.08.14,0
42,4,Aichi,2019.08.15,3.8413928
0,4,Aichi,2019.08.16,0
23,4,Aichi,2019.08.17,2.1036198
0,6,Aichi,2019.08.18,0
46,6,Aichi,2019.08.19,5.0702634
70,6,Aichi,2019.08.20,7.7156181
0,6,Aichi,2019.08.21,0
0,6,Aichi,2019.08.22,0
70,6,Aichi,2019.08.23,7.7156181
48,6,Aichi,2019.08.24,5.2907095
24,4,Aichi,2019.08.25,2.5317504
23,4,Aichi,2019.08.26,2.4262609
23,4,Aichi,2019.08.27,2.4262609
93,4,Aichi,2019.08.28,9.8105335
0,4,Aichi,2019.08.29,0
0,4,Aichi,2019.08.30,0
0,4,Aichi,2019.08.31,0
46,5,Aichi,2019.09.01,4.6636853
95,5,Aichi,2019.09.02,9.6315241
0,5,Aichi,2019.09.03,0
47,5,Aichi,2019.09.04,4.76507
0,5,Aichi,2019.09.05,0
24,5,Aichi,2019.09.06,2.4332271
0,5,Aichi,2019.09.07,0
44,5,Aichi,2019.09.08,5.030395
24,5,Aichi,2019.09.09,2.7438519
0,5,Aichi,2019.09.10,0
0,5,Aichi,2019.09.11,0
0,5,Aichi,2019.09.12,0
72,5,Aichi,2019.09.13,8.2315559
48,5,Aichi,2019.09.14,5.4877038
47,3,Aichi,2019.09.15,4.2987013
23,3,Aichi,2019.09.16,2.1036198
24,3,Aichi,2019.09.17,2.1950817
0,3,Aichi,2019.09.18,0
24,3,Aichi,2019.09.19,2.1950817
0,3,Aichi,2019.09.20,0
23,3,Aichi,2019.09.21,2.1036198
43,4,Aichi,2019.09.22,4.5640535
0,4,Aichi,2019.09.23,0
0,4,Aichi,2019.09.24,0
25,4,Aichi,2019.09.25,2.6535194
48,4,Aichi,2019.09.26,5.0947571
0,4,Aichi,2019.09.27,0
46,4,Aichi,2019.09.28,4.8824759
22,6,Aichi,2019.09.29,2.4043584
47,6,Aichi,2019.09.30,5.1365838
24,6,Aichi,2019.10.01,2.6229365
48,6,Aichi,2019.10.02,5.245873
24,6,Aichi,2019.10.03,2.6229365
0,6,Aichi,2019.10.04,0
71,6,Aichi,2019.10.05,7.7595205
46,4,Aichi,2019.10.06,5.1361113
0,4,Aichi,2019.10.07,0
48,4,Aichi,2019.10.08,5.3594203
0,4,Aichi,2019.10.09,0
0,4,Aichi,2019.10.10,0
22,4,Aichi,2019.10.11,2.4564009
38,4,Aichi,2019.10.12,4.2428741
45,4,Aichi,2019.10.13,5.5666633
45,4,Aichi,2019.10.14,5.5666633
25,4,Aichi,2019.10.15,3.0925908
0,4,Aichi,2019.10.16,0
0,4,Aichi,2019.10.17,0
24,4,Aichi,2019.10.18,2.9688873
0,4,Aichi,2019.10.19,0
24,3,Aichi,2019.10.20,2.1054866
23,3,Aichi,2019.10.21,2.0177579
0,3,Aichi,2019.10.22,0
0,3,Aichi,2019.10.23,0
49,3,Aichi,2019.10.24,4.2987018
0,3,Aichi,2019.10.25,0
51,3,Aichi,2019.10.26,4.4741588
24,8,Aichi,2019.10.27,2.3854067
99,8,Aichi,2019.10.28,9.8398027
100,8,Aichi,2019.10.29,9.9391947
0,8,Aichi,2019.10.30,0
26,8,Aichi,2019.10.31,2.5841906
