date,prefecture,raw_daily,raw_weekly,medication_harmonized_daily
2017.07.20,Aichi,21,2,1.9237095
2017.07.21,Aichi,0,2,0
2017.07.22,Aichi,21,2,1.9237095
2017.07.23,Aichi,61,5,6.2940836
2017.07.24,Aichi,20,5,2.0636339
2017.07.25,Aichi,0,5,0
2017.07.26,Aichi,20,5,2.0636339
2017.07.27,Aichi,40,5,4.1272678
2017.07.28,Aichi,20,5,2.0636339
2017.07.29,Aichi,21,5,2.1668158
2017.07.30,Aichi,0,3,0
2017.07.31,Aichi,0,3,0
2017.08.01,Aichi,20,3,2.2093022
2017.08.02,Aichi,0,3,0
2017.08.03,Aichi,20,3,2.2093022
2017.08.04,Aichi,20,3,2.2093022
2017.08.05,Aichi,42,3,4.6395345
2017.08.06,Aichi,40,7,4.7801266
2017.08.07,Aichi,0,7,0
2017.08.08,Aichi,39,7,4.6606231
2017.08.09,Aichi,19,7,2.2705603
2017.08.10,Aichi,40,7,4.7801266
2017.08.11,Aichi,40,7,4.7801266
2017.08.12,Aichi,42,7,5.0191331
2017.08.13,Aichi,22,5,2.5345981
2017.08.14,Aichi,41,5,4.7235694
2017.08.15,Aichi,0,5,0
2017.08.16,Aichi,40,5,4.6083603
2017.08.17,Aichi,0,5,0
2017.08.18,Aichi,39,5,4.4931512
2017.08.19,Aichi,21,5,2.419389
2017.08.20,Aichi,0,4,0
2017.08.21,Aichi,0,4,0
2017.08.22,Aichi,0,4,0
2017.08.23,Aichi,40,4,4.9663653
2017.08.24,Aichi,20,4,2.4831827
2017.08.25,Aichi,20,4,2.4831827
2017.08.26,Aichi,41,4,5.0905247
2017.08.27,Aichi,0,5,0
2017.08.28,Aichi,40,5,4.6368074
2017.08.29,Aichi,20,5,2.3184037
2017.08.30,Aichi,60,5,6.9552107
2017.08.31,Aichi,21,5,2.434324
2017.09.01,Aichi,21,5,2.434324
2017.09.02,Aichi,0,5,0
2017.09.03,Aichi,20,4,2.0865631
2017.09.04,Aichi,83,4,8.6592379
2017.09.05,Aichi,0,4,0
2017.09.06,Aichi,20,4,2.0865631
2017.09.07,Aichi,0,4,0
2017.09.08,Aichi,21,4,2.1908915
2017.09.09,Aichi,0,4,0
2017.09.10,Aichi,40,6,4.5069771
2017.09.11,Aichi,0,6,0
2017.09.12,Aichi,80,6,9.0139542
2017.09.13,Aichi,20,6,2.2534885
2017.09.14,Aichi,41,6,4.6196513
2017.09.15,Aichi,0,6,0
2017.09.16,Aichi,19,6,2.1408141
2017.09.17,Aichi,37,4,3.9989958
2017.09.18,Aichi,60,4,6.484858
2017.09.19,Aichi,21,4,2.2697003
2017.09.20,Aichi,0,4,0
2017.09.21,Aichi,0,4,0
2017.09.22,Aichi,0,4,0
2017.09.23,Aichi,21,4,2.2697003
2017.09.24,Aichi,0,7,0
2017.09.25,Aichi,62,7,6.4427795
2017.09.26,Aichi,21,7,2.1822317
2017.09.27,Aichi,21,7,2.1822317
2017.09.28,Aichi,63,7,6.5466952
