date,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2017.10.28,17,44,4.9866667
2017.10.29,37,44,11.130733
2017.10.30,56,44,16.846518
2017.10.31,41,44,12.334057
2017.11.01,49,44,14.740702
2017.11.02,35,44,10.529074
2017.11.03,59,44,17.749008
2017.11.04,36,44,10.829904
2017.11.05,60,46,18.11779
2017.11.06,53,46,16.004049
2017.11.07,44,46,13.28638
2017.11.08,44,46,13.28638
2017.11.09,49,46,14.796196
2017.11.10,49,46,14.796196
2017.11.11,27,46,8.1530056
2017.11.12,32,44,9.3575153
2017.11.13,40,44,11.696895
2017.11.14,61,44,17.837765
2017.11.15,54,44,15.790808
2017.11.16,51,44,14.91354
2017.11.17,56,44,16.37565
2017.11.18,28,44,8.1878252
2017.11.19,24,29,7.2655602
2017.11.20,38,29,11.503803
2017.11.21,33,29,9.9901457
2017.11.22,19,29,5.7519016
2017.11.23,43,29,13.017463
2017.11.24,38,29,11.503803
2017.11.25,10,29,3.0273168
2017.11.26,33,41,9.6193352
2017.11.27,38,41,11.076811
2017.11.28,56,41,16.323721
2017.11.29,70,41,20.40465
2017.11.30,37,41,10.785315
2017.12.01,38,41,11.076811
2017.12.02,29,41,8.4533548
2017.12.03,42,48,12.577959
2017.12.04,55,48,16.471136
2017.12.05,47,48,14.075336
2017.12.06,47,48,14.075336
2017.12.07,52,48,15.57271
2017.12.08,61,48,18.267988
2017.12.09,39,48,11.679533
2017.12.10,24,30,6.6701298
2017.12.11,36,30,10.005195
2017.12.12,28,30,7.7818179
2017.12.13,37,30,10.283116
2017.12.14,29,30,8.0597401
2017.12.15,43,30,11.95065
2017.12.16,34,30,9.4493504
2017.12.17,24,29,7.3011761
2017.12.18,28,29,8.5180387
2017.12.19,28,29,8.5180387
2017.12.20,33,29,10.039117
2017.12.21,19,29,5.7800975
2017.12.22,38,29,11.560195
2017.12.23,34,29,10.343332
2017.12.24,28,30,8.439436
2017.12.25,41,30,12.357746
2017.12.26,32,30,9.6450701
2017.12.27,38,30,11.45352
2017.12.28,19,30,5.7267599
2017.12.29,45,30,13.563379
2017.12.30,10,30,3.0140843
2017.12.31,11,14,2.5547287
2018.01.01,12,14,2.7869768
2018.01.02,11,14,2.5547287
2018.01.03,16,14,3.7159688
2018.01.04,16,14,3.7159688
2018.01.05,31,14,7.1996899
2018.01.06,32,14,7.4319377
2018.01.07,27,33,6.5977163
2018.01.08,31,33,7.5751557
2018.01.09,47,33,11.484913
2018.01.10,54,33,13.195433
2018.01.11,48,33,11.729274
2018.01.12,38,33,9.285675
2018.01.13,44,33,10.751834
2018.01.14,53,52,13.194272
2018.01.15,43,52,10.704787
2018.01.16,59,52,14.687963
2018.01.17,100,52,24.894852
2018.01.18,74,52,18.422192
2018.01.19,48,52,11.949529
2018.01.20,70,52,17.426397
2018.01.21,52,27,12.731186
2018.01.22,45,27,11.017371
2018.01.23,37,27,9.0587282
2018.01.24,16,27,3.9172878
2018.01.25,32,27,7.8345757
2018.01.26,27,27,6.6104236
2018.01.27,27,27,6.6104236
2018.01.28,43,46,10.662266
2018.01.29,96,46,23.804129
2018.01.30,59,46,14.629621
2018.01.31,48,46,11.902064
2018.02.01,56,46,13.885742
2018.02.02,63,46,15.621459
2018.02.03,32,46,7.9347095
2018.02.04,42,34,10.152558
2018.02.05,68,34,16.437475
2018.02.06,58,34,14.020199
