date,prefecture,raw_daily,raw_weekly,medications2_harmonized_daily
2017.08.13,Aichi,23,4,6.0249157
2017.08.14,Aichi,0,4,0
2017.08.15,Aichi,0,4,0
2017.08.16,Aichi,21,4,5.5010104
2017.08.17,Aichi,0,4,0
2017.08.18,Aichi,0,4,0
2017.08.19,Aichi,22,4,5.7629628
2017.08.20,Aichi,0,3,0
2017.08.21,Aichi,0,3,0
2017.08.22,Aichi,0,3,0
2017.08.23,Aichi,21,3,4.2546878
2017.08.24,Aichi,0,3,0
2017.08.25,Aichi,0,3,0
2017.08.26,Aichi,43,3,8.7119799
2017.08.27,Aichi,0,4,0
2017.08.28,Aichi,21,4,2.8364582
2017.08.29,Aichi,21,4,2.8364582
2017.08.30,Aichi,21,4,2.8364582
2017.08.31,Aichi,22,4,2.9715276
2017.09.01,Aichi,22,4,2.9715276
2017.09.02,Aichi,21,4,2.8364582
2017.09.03,Aichi,0,5,0
2017.09.04,Aichi,0,5,0
2017.09.05,Aichi,0,5,0
2017.09.06,Aichi,21,5,10.805556
2017.09.07,Aichi,0,5,0
2017.09.08,Aichi,0,5,0
2017.09.09,Aichi,21,5,10.805556
2017.09.10,Aichi,21,7,6.0511117
2017.09.11,Aichi,0,7,0
2017.09.12,Aichi,42,7,12.102223
2017.09.13,Aichi,0,7,0
2017.09.14,Aichi,22,7,6.3392596
2017.09.15,Aichi,0,7,0
2017.09.16,Aichi,20,7,5.7629628
2017.09.17,Aichi,0,5,0
2017.09.18,Aichi,0,5,0
2017.09.19,Aichi,22,5,7.2037034
2017.09.20,Aichi,0,5,0
2017.09.21,Aichi,0,5,0
2017.09.22,Aichi,22,5,7.2037034
2017.09.23,Aichi,22,5,7.2037034
2017.09.24,Aichi,0,7,0
2017.09.25,Aichi,65,7,14.89857
2017.09.26,Aichi,0,7,0
2017.09.27,Aichi,22,7,5.042593
2017.09.28,Aichi,22,7,5.042593
2017.09.29,Aichi,0,7,0
2017.09.30,Aichi,23,7,5.2718019
2017.10.01,Aichi,0,7,0
2017.10.02,Aichi,40,7,4.939683
2017.10.03,Aichi,61,7,7.5330162
2017.10.04,Aichi,62,7,7.6565084
2017.10.05,Aichi,0,7,0
2017.10.06,Aichi,41,7,5.0631747
2017.10.07,Aichi,41,7,5.0631747
2017.10.08,Aichi,0,6,0
2017.10.09,Aichi,20,6,2.368341
2017.10.10,Aichi,0,6,0
2017.10.11,Aichi,40,6,4.7366819
2017.10.12,Aichi,59,6,6.9866061
2017.10.13,Aichi,0,6,0
2017.10.14,Aichi,100,6,11.841704
2017.10.15,Aichi,20,4,2.7662225
2017.10.16,Aichi,21,4,2.9045334
2017.10.17,Aichi,42,4,5.8090668
2017.10.18,Aichi,21,4,2.9045334
2017.10.19,Aichi,21,4,2.9045334
2017.10.20,Aichi,0,4,0
2017.10.21,Aichi,0,4,0
2017.10.22,Aichi,0,4,0
2017.10.23,Aichi,19,4,2.281173
2017.10.24,Aichi,21,4,2.5212965
2017.10.25,Aichi,0,4,0
2017.10.26,Aichi,42,4,5.042593
