date,prefecture,raw_daily,raw_weekly,suicide2_harmonized_daily
2017.09.07,Aichi,13,37,9.4704237
2017.09.08,Aichi,14,37,10.198918
2017.09.09,Aichi,10,37,7.2849412
2017.09.10,Aichi,30,59,22.144007
2017.09.11,Aichi,36,59,26.572807
2017.09.12,Aichi,31,59,22.882143
2017.09.13,Aichi,28,59,20.66774
2017.09.14,Aichi,32,59,23.620275
2017.09.15,Aichi,15,59,11.072003
2017.09.16,Aichi,20,59,14.762672
2017.09.17,Aichi,13,46,9.1492538
2017.09.18,Aichi,22,46,15.483353
2017.09.19,Aichi,22,46,15.483353
2017.09.20,Aichi,30,46,21.113663
2017.09.21,Aichi,28,46,19.706085
2017.09.22,Aichi,26,46,18.298508
2017.09.23,Aichi,16,46,11.26062
2017.09.24,Aichi,17,49,12.351342
2017.09.25,Aichi,21,49,15.257542
2017.09.26,Aichi,20,49,14.530992
2017.09.27,Aichi,42,49,30.515083
2017.09.28,Aichi,32,49,23.249586
2017.09.29,Aichi,19,49,13.804442
2017.09.30,Aichi,11,49,7.9920454
2017.10.01,Aichi,12,37,9.1155167
2017.10.02,Aichi,17,37,12.913649
2017.10.03,Aichi,17,37,12.913649
2017.10.04,Aichi,15,37,11.394396
2017.10.05,Aichi,17,37,12.913649
2017.10.06,Aichi,21,37,15.952153
2017.10.07,Aichi,18,37,13.673274
2017.10.08,Aichi,16,38,11.409793
2017.10.09,Aichi,19,38,13.549129
