date,花粉症_trend,prefecture
2020-05-22,16.93347340033553,Hokkaido
2020-05-23,16.93347340033553,Hokkaido
2020-05-24,42.621106930923474,Hokkaido
2020-05-25,0.0,Hokkaido
2020-05-26,8.39506651669705,Hokkaido
2020-05-27,16.7901330333941,Hokkaido
2020-05-28,25.83097389752938,Hokkaido
2020-05-29,8.39506651669705,Hokkaido
2020-05-30,8.39506651669705,Hokkaido
2020-05-31,31.82315671970453,Hokkaido
2020-06-01,32.29114431852371,Hokkaido
2020-06-02,25.739317935055134,Hokkaido
2020-06-03,18.71950395276737,Hokkaido
2020-06-04,36.97102030671555,Hokkaido
2020-06-05,6.083838784649395,Hokkaido
2020-06-06,6.55182638346858,Hokkaido
2020-06-07,27.013216143381975,Hokkaido
2020-06-08,9.454625650183692,Hokkaido
2020-06-09,8.77929524659914,Hokkaido
2020-06-10,9.454625650183692,Hokkaido
2020-06-11,9.454625650183692,Hokkaido
2020-06-12,0.0,Hokkaido
2020-06-13,28.36387695055107,Hokkaido
2020-06-14,17.73413219698183,Hokkaido
2020-06-15,6.05555733555477,Hokkaido
2020-06-16,0.0,Hokkaido
2020-06-17,6.05555733555477,Hokkaido
2020-06-18,0.0,Hokkaido
2020-06-19,0.0,Hokkaido
2020-06-20,0.0,Hokkaido
2020-06-21,0.0,Hokkaido
2020-06-22,27.457627118644062,Hokkaido
2020-06-23,13.728813559322031,Hokkaido
2020-06-24,13.728813559322031,Hokkaido
2020-06-25,13.728813559322031,Hokkaido
2020-06-26,0.0,Hokkaido
2020-06-27,0.0,Hokkaido
2020-06-28,0.0,Hokkaido
2020-06-29,0.0,Hokkaido
2020-06-30,0.0,Hokkaido
2020-07-01,0.0,Hokkaido
2020-07-02,0.0,Hokkaido
2020-07-03,0.0,Hokkaido
2020-07-04,0.0,Hokkaido
2020-07-05,5.421669300055027,Hokkaido
2020-07-06,0.0,Hokkaido
2020-07-07,10.673911434483333,Hokkaido
2020-07-08,0.0,Hokkaido
2020-07-09,5.760523631308465,Hokkaido
2020-07-10,0.0,Hokkaido
2020-07-11,16.942716562671958,Hokkaido
2020-07-12,14.812085482682388,Hokkaido
2020-07-13,0.0,Hokkaido
2020-07-14,7.516580692704496,Hokkaido
2020-07-15,7.516580692704496,Hokkaido
2020-07-16,0.0,Hokkaido
2020-07-17,0.0,Hokkaido
2020-07-18,0.0,Hokkaido
2020-07-19,0.0,Hokkaido
2020-07-20,4.476787030213706,Hokkaido
2020-07-21,0.0,Hokkaido
2020-07-22,4.476787030213706,Hokkaido
2020-07-23,0.0,Hokkaido
2020-07-24,0.0,Hokkaido
2020-07-25,0.0,Hokkaido
