date,prefecture,raw_daily,raw_weekly,mask_harmonized_daily
2017.03.29,Aichi,44,54,42.239998
2017.03.30,Aichi,57,54,54.720001
2017.03.31,Aichi,53,54,50.880001
2017.04.01,Aichi,39,54,37.440002
2017.04.02,Aichi,90,49,58.22913
2017.04.03,Aichi,89,49,57.582134
2017.04.04,Aichi,41,49,26.526602
2017.04.05,Aichi,60,49,38.819416
2017.04.06,Aichi,41,49,26.526602
2017.04.07,Aichi,53,49,34.290485
2017.04.08,Aichi,38,49,24.58563
2017.04.09,Aichi,40,56,31.733335
2017.04.10,Aichi,57,56,45.220005
2017.04.11,Aichi,58,56,46.013336
2017.04.12,Aichi,42,56,33.32
2017.04.13,Aichi,60,56,47.600002
2017.04.14,Aichi,56,56,44.42667
2017.04.15,Aichi,71,56,56.326672
2017.04.16,Aichi,36,55,29.837118
2017.04.17,Aichi,58,55,48.070911
2017.04.18,Aichi,60,55,49.728531
2017.04.19,Aichi,30,55,24.864265
2017.04.20,Aichi,49,55,40.611633
2017.04.21,Aichi,59,55,48.899723
2017.04.22,Aichi,69,55,57.187813
2017.04.23,Aichi,54,43,42.819256
2017.04.24,Aichi,29,43,22.995527
2017.04.25,Aichi,61,43,48.3699
2017.04.26,Aichi,43,43,34.096813
2017.04.27,Aichi,32,43,25.374374
2017.04.28,Aichi,53,43,42.026306
2017.04.29,Aichi,23,43,18.237831
2017.04.30,Aichi,50,50,37.362637
2017.05.01,Aichi,71,50,53.054943
2017.05.02,Aichi,42,50,31.384615
2017.05.03,Aichi,64,50,47.824177
2017.05.04,Aichi,33,50,24.65934
2017.05.05,Aichi,42,50,31.384615
2017.05.06,Aichi,62,50,46.32967
2017.05.07,Aichi,28,46,22.314394
2017.05.08,Aichi,58,46,46.222672
2017.05.09,Aichi,100,46,79.694267
2017.05.10,Aichi,7,46,5.5785985
2017.05.11,Aichi,62,46,49.410442
2017.05.12,Aichi,20,46,15.938852
2017.05.13,Aichi,39,46,31.080765
2017.05.14,Aichi,67,53,46.21397
2017.05.15,Aichi,41,53,28.28019
2017.05.16,Aichi,58,53,40.006123
2017.05.17,Aichi,61,53,42.075405
2017.05.18,Aichi,74,53,51.042294
2017.05.19,Aichi,71,53,48.973011
2017.05.20,Aichi,46,53,31.728996
2017.05.21,Aichi,50,43,49.142857
2017.05.22,Aichi,48,43,47.177143
2017.05.23,Aichi,32,43,31.451429
2017.05.24,Aichi,36,43,35.382858
2017.05.25,Aichi,27,43,26.537144
2017.05.26,Aichi,28,43,27.520002
2017.05.27,Aichi,17,43,16.708572
2017.05.28,Aichi,44,45,36.26667
2017.05.29,Aichi,46,45,37.915154
2017.05.30,Aichi,28,45,23.078791
2017.05.31,Aichi,34,45,28.024244
2017.06.01,Aichi,52,45,42.860611
2017.06.02,Aichi,51,45,42.036366
2017.06.03,Aichi,42,45,34.618183
2017.06.04,Aichi,23,46,20.482279
2017.06.05,Aichi,38,46,33.840286
2017.06.06,Aichi,48,46,42.745628
2017.06.07,Aichi,28,46,24.934948
2017.06.08,Aichi,51,46,45.417229
2017.06.09,Aichi,53,46,47.198292
2017.06.10,Aichi,40,46,35.621353
2017.06.11,Aichi,26,48,20.635624
2017.06.12,Aichi,58,48,46.033314
2017.06.13,Aichi,59,48,46.826992
2017.06.14,Aichi,54,48,42.858604
2017.06.15,Aichi,44,48,34.921822
2017.06.16,Aichi,43,48,34.128147
2017.06.17,Aichi,45,48,35.715504
2017.06.18,Aichi,28,45,20.770908
2017.06.19,Aichi,53,45,39.316364
2017.06.20,Aichi,67,45,49.701817
2017.06.21,Aichi,38,45,28.189093
2017.06.22,Aichi,49,45,36.349091
2017.06.23,Aichi,49,45,36.349091
2017.06.24,Aichi,46,45,34.123638
2017.06.25,Aichi,33,38,26.857323
2017.06.26,Aichi,45,38,36.623623
2017.06.27,Aichi,43,38,34.995903
2017.06.28,Aichi,44,38,35.809765
2017.06.29,Aichi,48,38,39.065197
2017.06.30,Aichi,27,38,21.974173
2017.07.01,Aichi,14,38,11.394015
2017.07.02,Aichi,36,44,42.658218
2017.07.03,Aichi,27,44,31.993664
2017.07.04,Aichi,26,44,30.808716
2017.07.05,Aichi,16,44,18.959209
2017.07.06,Aichi,38,44,45.028118
2017.07.07,Aichi,25,44,29.623764
2017.07.08,Aichi,34,44,40.288319
2017.07.09,Aichi,27,33,25.114199
2017.07.10,Aichi,32,33,29.764975
2017.07.11,Aichi,26,33,24.184042
2017.07.12,Aichi,31,33,28.834818
2017.07.13,Aichi,16,33,14.882487
2017.07.14,Aichi,26,33,24.184042
2017.07.15,Aichi,35,33,32.555443
2017.07.16,Aichi,24,40,18.388733
2017.07.17,Aichi,37,40,28.349297
2017.07.18,Aichi,60,40,45.971832
2017.07.19,Aichi,58,40,44.439438
2017.07.20,Aichi,45,40,34.478874
2017.07.21,Aichi,27,40,20.687325
2017.07.22,Aichi,33,40,25.284506
2017.07.23,Aichi,34,37,31.392296
2017.07.24,Aichi,41,37,37.855415
2017.07.25,Aichi,26,37,24.005871
2017.07.26,Aichi,34,37,31.392296
2017.07.27,Aichi,12,37,11.079634
2017.07.28,Aichi,44,37,40.625324
2017.07.29,Aichi,27,37,24.929174
2017.07.30,Aichi,21,30,15.866667
2017.07.31,Aichi,16,30,12.088889
2017.08.01,Aichi,19,30,14.355556
2017.08.02,Aichi,48,30,36.266666
2017.08.03,Aichi,39,30,29.466669
2017.08.04,Aichi,30,30,22.666666
2017.08.05,Aichi,43,30,32.488888
2017.08.06,Aichi,20,34,22.83457
2017.08.07,Aichi,18,34,20.551113
2017.08.08,Aichi,27,34,30.826668
2017.08.09,Aichi,22,34,25.118025
2017.08.10,Aichi,40,34,45.66914
2017.08.11,Aichi,24,34,27.401484
2017.08.12,Aichi,11,34,12.559012
2017.08.13,Aichi,0,37,0
2017.08.14,Aichi,54,37,50.32
2017.08.15,Aichi,35,37,32.614815
2017.08.16,Aichi,42,37,39.137779
2017.08.17,Aichi,32,37,29.81926
2017.08.18,Aichi,33,37,30.75111
2017.08.19,Aichi,20,37,18.637035
2017.08.20,Aichi,40,43,36.693336
2017.08.21,Aichi,29,43,26.602671
2017.08.22,Aichi,26,43,23.85067
2017.08.23,Aichi,48,43,44.032005
2017.08.24,Aichi,35,43,32.10667
2017.08.25,Aichi,40,43,36.693336
2017.08.26,Aichi,37,43,33.941338
2017.08.27,Aichi,34,40,29.12756
2017.08.28,Aichi,31,40,26.557482
